# Backoff Power Limit Table (unit is 1 dBm, resolution level is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 2.4G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch1,30,30,30,30,21,18,30,30,18,30,30,22,19,30,30,22,30,30,30,30,30,19,30,30,22,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,20,30,30,23,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22,19,30,30,22,30,30,30,30,30,22,19,30,30,22,30,30,30,30,30,22,19,30,30,22,30,30,30,30,30,22,19,30,30,22,30,30,30,30,30,22,19,30,30,22,30,30,30,30,30,22,19,30,30,22,30,30,30,30,30
Ch2,30,30,30,30,26,23,30,30,23,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,20,30,30,23,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30
Ch3,30,30,30,30,26,23,30,30,23,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,20,30,30,23,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30
Ch4,30,30,30,30,26,23,30,30,23,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30
Ch5,30,30,30,30,26,23,30,30,23,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30
Ch6,30,30,30,30,26,23,30,30,23,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30
Ch7,30,30,30,30,26,23,30,30,23,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30
Ch8,30,30,30,30,26,23,30,30,23,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30
Ch9,30,30,30,30,26,23,30,30,23,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30
