# Backoff Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 2.4G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch1,15,10,17.5,13.5,18,16.5,19.5,13.5,14,10.5,19.5,19.5,12,12,12,14,17.5,18.5,14.5,13.5,14.5,10,11.5,15.5,11.5,15,19.5,14,14.5,18,14.5,10.5,10.5,11.5,16.5,17.5,14,19,16,17,13.5,17,16.5,17,14.5,19,16.5,16.5,11,13.5,19,10,13,14,10,14.5,10.5,18,15,15,11.5,19.5,14,10.5,12.5,14.5,14,10.5,17.5,19.5,12,15.5,12.5,15,12.5,14.5,13.5,19.5,17,10,19,16,17.5,16.5,18.5,13,18,12.5,18,17.5,17.5,10.5,14.5,11,14,19.5,18,10,11,19,18,12,15,11.5,10.5,14,14.5,12.5,11,10.5,15,16,18.5,17,12.5,19,12,10,19.5,15.5,12.5,13,12.5,14,15,19.5,19.5,12,10,19,19,18,10.5,17,19.5,10.5,17,18.5,17,13,13,12.5,10.5,17,11.5,17,12
Ch2,12.5,14.5,14.5,19,19.5,10.5,19,18.5,14,19.5,18,19,13.5,14.5,16.5,10,19.5,18.5,12.5,14.5,16,10.5,11.5,12.5,17.5,11,13.5,10.5,11,19,12.5,13.5,16,18.5,11.5,16.5,13.5,16.5,11.5,16,18.5,19,16.5,15,16.5,12.5,12,15,15,17.5,17,19.5,15,12,16.5,11.5,11.5,18,17,14.5,10.5,12,16.5,12,15,11,11,15.5,18.5,16.5,15.5,10,16.5,19,14.5,16.5,19.5,18.5,19,17,16.5,11.5,12.5,19.5,15,15.5,16,18.5,18,18.5,15,18,19.5,18.5,15,17.5,13,16,10,18.5,19.5,11,17,16,15.5,12,10,10,16,12.5,10.5,13.5,13.5,16.5,11,18.5,18,18,10.5,16.5,12,14.5,19,14.5,10,12.5,15.5,12.5,10,13.5,14.5,18,14,16,12.5,15,16.5,10.5,10.5,10.5,10.5,16,12.5,19.5,13,12.5,11.5
Ch3,19,10.5,11,17.5,10,19.5,18,17.5,18,16,10,17.5,14,18.5,17,13.5,16,16.5,12,15,15.5,16.5,13.5,10,11,15.5,19.5,14,14,10,10,19.5,13,11.5,12.5,14,17.5,16,11.5,17.5,19,11,17,12,15.5,18,19.5,13,18.5,15,19,17,18.5,17.5,15.5,19.5,10,13,11.5,16.5,17.5,12.5,16.5,17.5,12.5,14.5,10.5,18.5,16.5,12.5,17.5,12.5,16,13.5,17.5,11,14.5,17.5,18.5,17.5,13,12.5,13,15,13.5,17.5,17,17,18.5,19,12,15.5,12,11.5,14,19.5,15,10,19,19,17.5,19.5,10,15.5,18,13.5,19.5,19,16,15.5,17,17.5,10,17.5,18,14.5,15.5,15,18,16.5,13,15,15.5,13,15.5,15,15.5,11,14.5,17,19.5,19,15,10,17,16.5,11,13.5,17,18.5,16.5,18.5,16.5,17.5,17.5,19.5,13.5
Ch4,12,15,14.5,18.5,10,16.5,12.5,11.5,14,17,16,12.5,13,12,13.5,10.5,18.5,18.5,16,10.5,19,10,13,12,17,17,12.5,16,17.5,11,15,15.5,16.5,18.5,17.5,16.5,12.5,15.5,11,19,11,12.5,13,12,13.5,19.5,17.5,12,12.5,15,18,11.5,10,10.5,10,14,14,13,12,14,18.5,15,13,10,19,17.5,10.5,13.5,14.5,13,11,14,10.5,12,13,10.5,19,11,19.5,19.5,16,12.5,13,16.5,16,16.5,12.5,12.5,12.5,11,10.5,19.5,12,15.5,18,11,17.5,11.5,15.5,11.5,18.5,17,16,17.5,12.5,17,17,14,11,17.5,11.5,19.5,18,18.5,16,17,10,13.5,18.5,13.5,18.5,13,15.5,19.5,13.5,11,18,12.5,18,11,10,19,11,15,14,13,11.5,18.5,12.5,13,12,19.5,18,12.5,17,13,16.5
Ch5,19.5,15.5,11.5,16,16,15.5,13,14.5,16.5,17,12,15,11,17,19,15.5,17.5,10.5,10.5,19.5,18,12,10.5,16.5,17.5,17.5,16,14,11,13.5,15,18,17.5,10.5,13,14,12,10.5,11.5,15.5,15.5,17.5,11.5,10,11.5,16,12.5,19.5,17.5,12.5,15.5,11.5,12.5,13.5,12.5,13,14,12.5,17,18.5,14.5,18,13.5,12.5,12.5,14,15,15.5,14.5,19,13.5,11,18.5,12.5,16.5,17.5,17,15.5,11.5,13,17,17,18.5,18.5,11.5,11.5,19,10,10.5,10,15.5,16,,18,13.5,18.5,19.5,15,19,12.5,18.5,12,13.5,12.5,11,18.5,14.5,12.5,17.5,13,12.5,17,18,18,18,14.5,17.5,15,18,14,19.5,19.5,11,14.5,11,19.5,11.5,10.5,16.5,12.5,11.5,17,15,11,19,14.5,16.5,10,12,17.5,19,13,14.5,15.5,10,11,11.5
Ch6,19,11.5,12.5,19,16,16.5,16.5,13.5,16.5,15.5,12,16,17.5,17,11.5,16,18,14.5,12,17.5,19.5,18.5,18,11.5,12,16.5,10.5,17.5,18.5,14.5,13.5,12,10,18.5,14.5,11,16,10.5,10,17.5,15,18,19,18,13,14.5,19,16.5,15.5,19.5,14,13.5,19,18,14,19,11.5,12.5,15,16.5,12,13.5,13.5,18,11,13,13.5,19,15,18.5,13.5,12,17,16.5,19.5,14.5,14.5,12,10,15,16,13,19.5,18,14,19,17,11.5,19,16.5,16.5,19.5,19,11,17.5,15,17,12,18,12.5,10,10.5,16.5,18,14,12,12,18,15,16.5,13.5,16,18,11,17.5,19.5,16.5,19.5,19.5,18,10,15,19.5,15,14.5,17.5,14.5,19,11.5,19,17,12.5,18.5,18,10,17,19.5,19.5,19,17.5,19.5,15,11.5,10.5,13.5,12.5,12
Ch7,13.5,19.5,14.5,11.5,11,10,19,12.5,13,14.5,18.5,19.5,16,10,18,16.5,13,18.5,13.5,17,14.5,12.5,13.5,17.5,13,14.5,12.5,10,15,10.5,15,17.5,12,17.5,11.5,11,11,12.5,18.5,15.5,12.5,10.5,11,11,15,13.5,18.5,15.5,19,12,13,14.5,14.5,16,17,13,14.5,10.5,18.5,13,12,13.5,15.5,14,11,15.5,11.5,16,13.5,16.5,12.5,11,17.5,10,18.5,16,15,18.5,10.5,16.5,18.5,19,17,12.5,18,19.5,13.5,15,10,17.5,10.5,12,17.5,19,18,13.5,13.5,16,15.5,10.5,12,14.5,15,11,12.5,11.5,15,19.5,18.5,15.5,13.5,10,13.5,15,12,13,17.5,19.5,15,10,18.5,15,10,18,16.5,14.5,18,18,17,11.5,13.5,14.5,18.5,12.5,10,16.5,16,16.5,14,17.5,18,15.5,15,16,19,16,10
Ch8,14.5,19.5,11,11.5,11,12,13.5,16.5,12.5,13.5,13,16.5,12,16,16,10.5,19,19.5,14,14.5,19,15,15.5,17,11.5,14,16,15,15,10,16,16.5,18.5,18,17.5,12.5,15,19,18,14.5,15.5,18.5,17.5,18.5,15.5,15,15.5,12.5,10,16,14.5,15.5,17,12.5,15,12.5,13,18,15.5,12,14.5,10.5,13.5,10.5,12.5,19.5,17.5,10.5,10.5,16.5,18,18,18,16,13.5,15.5,19,13,18,19,19,16,15,16,19.5,14,17,15.5,16,14,18.5,11,16,19.5,13,17.5,17.5,13.5,13,19.5,15.5,17,19.5,12.5,14,10,17,10.5,10.5,15,12.5,13.5,18.5,16.5,10.5,17,14.5,14.5,19,11.5,15,11,17,12.5,14,12,16.5,17.5,15.5,14.5,11.5,14.5,15,12,10.5,11,16,15.5,17.5,14,14.5,11.5,16.5,17.5,19.5,15,12.5
Ch9,18,18,18,12.5,14.5,14.5,18.5,14,14,16,13.5,15.5,19.5,15.5,12.5,13,10,14,11,18.5,11.5,18.5,18.5,13.5,15.5,14,19,11.5,19.5,13,15.5,19,12.5,16.5,14.5,13.5,13,16,13,13.5,16,12,16,14,17.5,12,12.5,11.5,17,12,13.5,13.5,11,12.5,16.5,12,16,11.5,10.5,12,12.5,15.5,10,15,14,17,14.5,11,16.5,11,13.5,17.5,17,15,10.5,12.5,10,17.5,15,11,13,16.5,14.5,18.5,19.5,16,18.5,10,15.5,19.5,14.5,14,17,17.5,13,18,17.5,13,17.5,16.5,18,16,13.5,13.5,15,12.5,16,12.5,17.5,10.5,11.5,16,12,15.5,10.5,11,17.5,14.5,18,17.5,10.5,12,14.5,16,19.5,18,15.5,15,11,11.5,14,12.5,10.5,19,13.5,19.5,12.5,15,16,14,11.5,17,19.5,13,10.5,11,15
