# SKU Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,RU26,,,,,,,,,,,,RU52,,,,,,,,,,,,RU106,,,,,,,,,,,,RU242,,,,,,,,,,,,RU484,,,,,,,,,,,,RU996,,,,,,,,,,,,RU996X2,,,,,,,,,,,
Band: 2.4G,CCK_1M,CCK_2M,CCK_5.5M,CCK_11M,OFDM_6M,OFDM_9M,OFDM_12M,OFDM_18M,OFDM_24M,OFDM36M,OFDM_48M,OFDM_54M,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,HT40_MCS32,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11
Ch1,11,12.5,13.5,12,13.5,11,10.5,14.5,14,12,17.5,14.5,18.5,13,11,12.5,16.5,11,11.5,11.5,15.5,13.5,21,20,11.5,17.5,12,10,11.5,19.5,16.5,14.5,12,14,21,20,13.5,15,15.5,16,15,10,16.5,12.5,11.5,19.5,17,21,20,12,13,18,14,15.5,16.5,11.5,16.5,10.5,12.5,21,20,16,15,19.5,10,12,11,14.5,17.5,17,12.5,17,11,19,15,13,16.5,15.5,17.5,14.5,14,17,15,18.5,16,14.5,18,13,17.5,18,17,13.5,17.5,16,11,10.5,17,16,10,16.5,17,18,14.5,18,12,14,18.5,14,11.5,13,17,14.5,14.5,16,14.5,15.5,16.5,17.5,16.5,10,18,11.5,17,11.5,17.5,19,12,13,19,14,14.5,12,17,16.5,18.5,13.5,13.5,16.5,17.5,11,12,18.5,14,13.5,13
Ch2,19,18,13.5,18,14,11.5,15.5,13.5,15.5,19.5,16,11.5,10.5,16.5,13.5,15.5,12,12,17.5,16,18.5,14,21,20,16.5,16.5,19.5,15.5,13,15,15.5,17,11.5,15,21,20,11.5,14.5,13,18.5,10,17.5,13.5,15.5,11.5,13.5,11.5,21,20,14,16.5,12.5,14,13.5,11.5,12,16.5,12,10.5,21,20,10,14,19,19,10.5,16,11.5,12.5,14,13,12,16.5,19,19.5,19.5,14,10,10.5,13,15.5,19.5,17,14.5,18.5,14,17,11.5,15,10,16,12,12,14,10.5,16,15.5,12.5,15.5,12,15.5,18,13.5,11.5,19,18,16,11.5,14,17,11.5,16.5,10,12.5,13.5,16.5,17,11.5,11,16.5,15.5,14,11,14.5,19.5,10.5,19.5,14.5,12,11.5,16,12.5,10.5,11.5,16,15,19.5,14.5,13.5,18,13,11,16.5,17,14.5
Ch3,14.5,15,10,18,19,14,14,15,13.5,18,19,17.5,13,19,18.5,10.5,14,13.5,11,18,11.5,11,21,20,11,10,14.5,16,11,12.5,17,19,18.5,12.5,21,20,19.5,19,12,16.5,11,13,18,15.5,11.5,19.5,16.5,21,20,16.5,17,17,17.5,11,14,10.5,17.5,17.5,16.5,21,20,15,19,18.5,16,13,11,19,18,14,13,11.5,17.5,12,12.5,11.5,11.5,18,10,18.5,15,17,15,18.5,13,19.5,15,14.5,11.5,18,18.5,11,13,13,18,11,14.5,14.5,11,12,13,15,14,15.5,12,14.5,17.5,12.5,17.5,16.5,10,18,17.5,18.5,14,10,18.5,17.5,10.5,18,15.5,19,17,16.5,16,18.5,15,14,11,18,14,15.5,15,10,12.5,15.5,14.5,11.5,12,12,19.5,10,13.5,14.5,10
Ch4,12.5,17.5,12.5,10.5,10.5,16.5,11.5,19,10,15.5,11,18.5,14,14.5,16,13,11.5,13,10.5,19,13.5,12.5,21,20,12.5,12,18.5,15.5,11,14.5,13.5,14.5,12.5,12.5,21,20,10,19,11.5,12.5,10.5,13.5,19,10,11.5,19.5,18,21,20,11.5,12,10,13,18.5,15.5,14.5,15,11,18,21,20,13.5,16,18,19.5,13.5,17.5,17,10.5,17.5,15.5,19.5,16.5,15.5,18,10,12.5,10,11.5,17.5,17,14.5,14.5,12.5,13.5,11.5,18.5,13.5,12.5,12,13.5,18.5,13,16,17.5,15.5,18.5,18.5,14,19,12.5,17.5,19.5,11,11,10.5,14.5,15.5,11,13,13,19,16.5,11,14,11,13,17.5,19.5,15,14.5,18.5,17,19,17.5,17.5,19.5,19,13,19.5,18.5,12,17,14.5,15.5,12,19.5,12,11,10,14,17,15.5,15,10.5
Ch5,12.5,13.5,11,15.5,15.5,16.5,16,15.5,13.5,19.5,16,17.5,18.5,16,14,17.5,14.5,13,18.5,17.5,14.5,17.5,21,20,15.5,13.5,18.5,16,15.5,10.5,19,16,16,11,21,20,19,10.5,18.5,14,19,19.5,17.5,15,14.5,18,12,21,20,15,11,18.5,17,18.5,16,17,13.5,13.5,15.5,21,20,17,11.5,14.5,13.5,11,14.5,16.5,14.5,15.5,16,11,18.5,11.5,19.5,12.5,16,17.5,13.5,12,19.5,19,16,16,19.5,19.5,18,12.5,17.5,11,10.5,18.5,13,14,19.5,18.5,10,12.5,12,14.5,14.5,13.5,16.5,14.5,17,15.5,16.5,17.5,13,11.5,19,15.5,16.5,14.5,12.5,18.5,18.5,19.5,16,12.5,18,19,16.5,18,19.5,12,12,12,18,14.5,18.5,10.5,14.5,10,18,19.5,15,12.5,16.5,19.5,12.5,18,11,11,13
Ch6,12.5,10,11,19,19.5,18,18.5,16,12.5,15.5,19,16,18,19,18.5,15,13.5,17.5,11,15.5,18.5,16.5,21,20,17,15,12.5,18.5,19.5,10.5,15.5,16.5,14.5,18.5,21,20,17.5,16.5,19.5,15,18,16.5,18.5,19,19.5,19,17.5,21,20,14.5,11.5,11,18,11.5,10.5,14,17.5,18,16.5,21,20,11,16,15.5,11.5,17.5,19,12.5,15,12,11.5,17.5,10.5,11.5,11,14,13.5,13.5,18,10,16.5,17,11.5,14,10,11,18.5,14,14.5,19,13,14.5,12,13.5,19,13,15,16,13,12,19,17,15,19,13.5,14,19,14.5,17,18,17.5,19.5,16,17,19,15.5,16,15.5,19.5,14,11,11.5,11.5,15.5,15,10.5,15,13.5,16.5,13.5,11.5,15.5,11.5,19.5,18,12.5,12,19,18,12,15,14.5,19.5,10.5,11
Ch7,13.5,19.5,18.5,13,17.5,10.5,18,13,15,15,10.5,12.5,12.5,10,11,15,13,13.5,10,14.5,13,16,21,20,14.5,18,10,10,18,14,13.5,12,12,17,21,20,14,11,14.5,17,14.5,10,14,18.5,16,14,19,21,20,15.5,11.5,15.5,18,12.5,10.5,11.5,11.5,11.5,18,21,20,10.5,12,12.5,17.5,11.5,17,15,12,12,19.5,16,14,13.5,16,12.5,10,11,15,13.5,10,17.5,14,14.5,10.5,11,14.5,11,16.5,19.5,19,11.5,14.5,11.5,10,13.5,18,14.5,10,13.5,15,15,11.5,10,14,18,12.5,17.5,19.5,14.5,15,13.5,19,12.5,15.5,14.5,16,15.5,19,15.5,13.5,17,12,14,16,12,19.5,10.5,19.5,12.5,19.5,17,10.5,16.5,12,12,12,14,15.5,19.5,18,15.5,11.5,10,12.5
Ch8,15.5,12.5,18.5,15.5,18,12.5,13,15,15.5,15,18,15.5,19,18,17,13.5,13,17.5,19,13,13.5,17.5,21,20,10.5,12.5,10.5,12,15.5,13,18,18,17,18,21,20,11.5,13.5,10,17,14,10,10,15,18,15.5,17.5,21,20,18.5,10,17,19,17.5,14,10,16,10.5,12.5,21,20,15,19,13.5,11,14.5,19,15,15.5,13,17,18.5,16,19.5,18.5,16,14,17,19,19,12,18.5,15,15,19.5,13,10.5,19.5,17,14,10.5,13.5,13.5,19.5,16.5,11.5,18,10,17,13.5,17,13,13,19.5,17.5,15,14,13,16.5,13.5,13.5,12,16,18.5,11.5,18,19,18.5,13,19,18,10.5,14,14,18.5,19.5,13.5,10.5,18,14.5,12,14,16,13,13.5,11,14,16,10,15,13,14.5,14,15.5,19
Ch9,19.5,14.5,19.5,18.5,18,16.5,17.5,14.5,16.5,18,19,16,19.5,14,15,13,14.5,17.5,12.5,14.5,16.5,16,21,20,10,13,15,10,16.5,18,16,14.5,11.5,14.5,21,20,15.5,12.5,12.5,13.5,17.5,16,17.5,10,15,16,18.5,21,20,18,17,19,15,17.5,19.5,18,16.5,10,12.5,21,20,12,10.5,14,10.5,16.5,12,12.5,17.5,11,17,10.5,10.5,14.5,18,18.5,16.5,11.5,15.5,12,18.5,14.5,12.5,11,10.5,16.5,10,16.5,16,11,13.5,16,16.5,16,16.5,14.5,12.5,10.5,10,16.5,15.5,10.5,13.5,11,19,16,18,18.5,11.5,10,11.5,19.5,13.5,19,13,18.5,15,17.5,15,18.5,12.5,18.5,11,15,19,13,13.5,14,11.5,14,15.5,13,19.5,11,19.5,14.5,12,19.5,17.5,17,18.5,19,18,14.5,13.5
Ch10,10,18.5,12.5,16,13,15.5,18.5,11,19,11.5,14.5,12,15.5,11,11,14,19,11.5,18,10.5,17.5,11,21,20,10,15.5,18.5,11,15.5,15,13.5,14,11.5,11.5,21,20,10.5,15.5,19.5,17,14.5,19,14.5,19,17.5,12,10,21,20,18,17,12.5,16,16,14,19.5,12.5,17.5,12,21,20,15.5,15,16,13.5,18.5,12,10,19,18.5,11,14,10.5,18.5,19,12,17,14,13,13,13,14.5,12,14.5,15.5,17,11.5,14,15,15.5,12.5,11.5,12,10.5,14,13,13,19.5,11.5,15.5,14.5,16,14,13,18.5,16,18,18.5,19.5,12.5,18,16.5,12.5,16,16,13.5,11,13,14,19,16,18,15.5,15,16,10,12,19.5,12.5,18,14.5,11,14,16,14,18.5,17.5,12,12.5,10,19,17.5,16.5,14.5,13.5
