# Single SKU Max Power Table (unit is 1 dBm)                                                       
# 2.4G Channel CCK    OFDM        VHT20          VHT40          TxStreamCapability_Delta   TxSpatialStream_Delta                   
Band: 2.4G CCK_1M CCK_2M CCK_5.5M CCK_11M OFDM_6M OFDM_9M OFDM_12M OFDM_18M OFDM_24M OFDM_36M OFDM_48M OFDM_54M VHT20_MCS0 VHT20_MCS1 VHT20_MCS2 VHT20_MCS3 VHT20_MCS4 VHT20_MCS5 VHT20_MCS6 VHT20_MCS7 VHT20_MCS8 VHT20_MCS9 VHT40_MCS0 VHT40_MCS1 VHT40_MCS2 VHT40_MCS3 VHT40_MCS4 VHT40_MCS5 VHT40_MCS6 VHT40_MCS7 VHT40_MCS8 VHT40_MCS9 Txstream_3T Txstream_2T Txstream_1T Txstream_1SS Txstream_2SS Txstream_3SS Txstream_4SS                
Ch1 16  12  15  17  18  11 10 15 15  15  18  15 10 16 20 11  17  13  9 8 20 1 3 6 6 3 1 0                
Ch2 11  19  19  11  15  18 17 16 20  14  13  11 14 10 19 17  18  9  15 18 8 1 3 6 6 3 1 0                
Ch3 13  11  14  12  11  12 9 18 14  14  19  17 11 16 20 17  20  8  18 8 18 1 3 6 6 3 1 0                
Ch4 13  14  15  10  18  9 10 10 20  13  8  13 8 10 20 17  18  13  17 19 20 1 3 6 6 3 1 0                
Ch5 10  12  14  12  9  15 19 9 8  17  11  13 8 17 9 20  16  11  16 13 8 1 3 6 6 3 1 0                
Ch6 20  9  15  11  10  17 16 8 18  17  13  9 18 13 15 9  13  14  14 12 17 1 3 6 6 3 1 0                
Ch7 11  19  20  17  15  16 17 9 19  20  12  14 15 11 14 11  16  12  8 20 18 1 3 6 6 3 1 0                
Ch8 13  9  15  14  14  10 11 13 13  12  10  18 10 15 12 9  19  15  18 14 13 1 3 6 6 3 1 0                
Ch9 18  9  19  20  15  15 8 9 18  14  17  8 10 13 12 11  8  14  10 13 11 1 3 6 6 3 1 0                
Ch10 9  9  20  20  19  11 17 18 19  11  20  18 18 18 9 19  10  8  12 17 16 1 3 6 6 3 1 0                
Ch11 15  11  8  8  12  9 18 18 8  9  17  13 15 9 9 11  19  10  11 14 20 1 3 6 6 3 1 0                
Ch12 11  13  11  15  20  8 11 19 19  9  9  15 17 11 17 20  17  12  16 16 8 1 3 6 6 3 1 0                
Ch13 8  9  18  12  9  12 15 14 13  15  18  13 15 13 20 14  19  12  20 17 9 1 3 6 6 3 1 0                
Ch14 12  19  8  16  12  8 15 9 14  13  16  10 11 17 20 9  14  10  9 13 16 1 3 6 6 3 1 0                
                                                       
# 5G Channel OFDM        VHT20          VHT40          VHT80          VHT160          Txstream_Delta   TxSpatialStream_Delta   
Band: 5G OFDM_6M OFDM_9M OFDM_12M OFDM_18M OFDM_24M OFDM_36M OFDM_48M OFDM_54M VHT20_MCS0 VHT20_MCS1 VHT20_MCS2 VHT20_MCS3 VHT20_MCS4 VHT20_MCS5 VHT20_MCS6 VHT20_MCS7 VHT20_MCS8 VHT20_MCS9 VHT40_MCS0 VHT40_MCS1 VHT40_MCS2 VHT40_MCS3 VHT40_MCS4 VHT40_MCS5 VHT40_MCS6 VHT40_MCS7 VHT40_MCS8 VHT40_MCS9 VHT80_MCS0 VHT80_MCS1 VHT80_MCS2 VHT80_MCS3 VHT80_MCS4 VHT80_MCS5 VHT80_MCS6 VHT80_MCS7 VHT80_MCS8 VHT80_MCS9 VHT160_MCS0 VHT160_MCS1 VHT160_MCS2 VHT160_MCS3 VHT160_MCS4 VHT160_MCS5 VHT160_MCS6 VHT160_MCS7 VHT160_MCS8 VHT160_MCS9 Txstream_3T Txstream_2T Txstream_1T Txstream_1SS Txstream_2SS Txstream_3SS Txstream_4SS
Ch184 9  8  12  18 16 17 13  12  16  10 17 9 10 16  16  10  10 14 9 13 13  19  16  16 12 9 15 18  18  10  18 11 9 1 3 6 6 3 1 0
Ch188 8  18  9  13 9 11 16  20  20  14 12 9 13 13  8  20  12 17 13 9 9  14  15  19 16 9 12 13  17  14  19 9 12 1 3 6 6 3 1 0
Ch192 15  9  10  9 17 17 20  19  13  18 11 18 16 12  8  16  18 9 20 12 12  17  17  19 12 9 10 16  13  15  18 9 9 1 3 6 6 3 1 0
Ch196 13  10  17  19 8 15 19  12  18  12 10 16 16 12  15  11  19 17 12 10 10  19  20  18 8 16 10 20  8  19  15 13 8 1 3 6 6 3 1 0
Ch8 15  16  10  19 8 15 19  11  11  15 17 19 13 8  16  12  10 9 12 16 14  13  13  12 18 8 12 20  14  14  20 9 15 1 3 6 6 3 1 0
Ch12 12  12  19  19 12 20 17  19  18  18 19 17 13 16  15  17  13 11 9 13 11  19  13  13 14 20 13 17  14  19  18 15 11 1 3 6 6 3 1 0
Ch16 15  8  18  15 11 14 14  9  17  18 16 19 19 11  8  11  13 20 16 17 17  14  18  13 14 16 20 14  15  15  18 11 20 1 3 6 6 3 1 0
Ch36 8  14  8  17 9 14 20  10  8  11 15 9 13 8  16  14  20 9 14 17 11  9  20  16 20 12 13 17  18  20  16 8 12 1 3 6 6 3 1 0
Ch40 14  13  12  16 12 11 15  10  11  12 10 12 11 12  15  8  14 11 14 14 19  8  9  8 15 9 10 17  18  19  16 10 11 1 3 6 6 3 1 0
Ch44 16  20  20  9 12 12 10  11  18  16 9 13 13 16  8  9  9 10 10 11 12  18  11  8 8 12 9 14  15  17  19 13 16 1 3 6 6 3 1 0
Ch48 17  14  14  8 18 15 11  12  19  9 12 10 19 20  20  14  14 15 18 9 8  11  12  17 20 13 18 12  12  9  14 19 17 1 3 6 6 3 1 0
Ch52 10  17  8  12 10 15 16  11  20  14 12 17 17 17  10  20  9 18 11 13 20  18  15  10 20 12 11 18  19  9  15 13 9 1 3 6 6 3 1 0
Ch56 9  13  11  13 18 12 15  17  11  11 8 8 9 19  9  11  17 19 12 17 10  13  19  10 19 19 12 15  8  20  14 15 15 1 3 6 6 3 1 0
Ch60 14  8  18  8 17 19 18  16  12  15 14 15 15 19  18  12  17 19 11 17 8  10  19  9 16 17 13 11  14  18  14 8 16 1 3 6 6 3 1 0
Ch64 9  20  10  13 13 19 11  20  13  8 11 12 12 12  11  12  8 18 11 12 15  16  11  10 15 20 10 12  14  15  12 8 17 1 3 6 6 3 1 0
Ch68 8  20  9  19 12 14 8  18  14  15 20 12 10 8  10  12  15 20 14 8 13  16  15  11 13 12 14 20  11  11  10 16 20 1 3 6 6 3 1 0
Ch72 14  18  15  14 17 15 20  16  18  16 12 17 16 18  12  20  13 14 8 8 13  18  8  13 16 8 18 9  14  8  17 13 17 1 3 6 6 3 1 0
Ch76 8  11  17  15 15 16 10  11  12  13 11 14 20 17  18  12  11 17 13 11 13  16  15  18 11 11 13 17  13  9  11 17 14 1 3 6 6 3 1 0
Ch80 16  19  19  11 15 8 13  20  13  17 11 15 14 19  14  20  16 8 15 10 12  16  16  17 8 8 19 20  13  11  14 16 11 1 3 6 6 3 1 0
Ch84 9  11  13  11 16 16 13  20  8  15 19 16 17 11  11  10  16 16 19 19 13  15  12  9 19 13 19 19  18  18  12 17 13 1 3 6 6 3 1 0
Ch88 14  14  14  9 16 13 16  17  12  19 8 19 12 12  10  12  17 10 13 19 15  12  10  14 9 17 8 10  19  10  11 9 11 1 3 6 6 3 1 0
Ch92 11  20  9  19 18 15 11  9  11  20 13 15 9 10  10  12  17 20 13 9 20  12  17  15 17 17 19 9  20  13  16 13 20 1 3 6 6 3 1 0
